"ID_LUID","x","y","Area.1000ha"
704,161,67,1936.68
705,163,67,1936.67
706,165,67,1936.68
707,167,67,1936.6
708,169,67,1936.7
709,171,67,1933.38
710,173,67,1926.64
711,175,67,1936.64
712,177,67,1936.74
713,179,67,1936.62
714,-179,65,365.94
715,-177,65,505.96
716,-175,65,1223.1
717,-173,65,1410.44
718,-171,65,346.38
719,-169,65,3.53
720,-167,65,675.37
721,-165,65,1509.2
722,-163,65,1490.91
723,-161,65,1657.13
724,-159,65,2068.61
725,-157,65,2050.65
726,-155,65,2076.27
727,-153,65,2055.04
728,-151,65,2087.45
729,-149,65,2094.7
730,-147,65,2094.66
731,-145,65,2077.04
732,-143,65,2076.7
733,-141,65,2080.19
734,-139,65,2094.7
735,-137,65,2094.64
736,-135,65,2094.67
737,-133,65,2094.63
738,-131,65,2083.48
739,-129,65,2073.44
740,-127,65,2037.12
741,-125,65,2014.26
742,-123,65,1692.5
743,-121,65,1265.12
744,-119,65,1648.1
745,-117,65,1954.69
746,-115,65,2014.24
747,-113,65,1935.29
748,-111,65,1796.71
749,-109,65,1969.64
750,-107,65,2061.04
751,-105,65,2090.96
752,-103,65,2066.31
753,-101,65,1951.41
754,-99,65,1871.6
755,-97,65,1963.67
756,-95,65,1927.03
757,-93,65,2065.13
758,-91,65,2048.36
759,-89,65,1726.67
760,-87,65,875.32
761,-85,65,1700.34
762,-83,65,954.08
763,-81,65,70.96
764,-79,65,33.04
765,-77,65,1004.3
766,-75,65,754.14
767,-73,65,1733.06
768,-71,65,1766.94
769,-69,65,2012.3
770,-67,65,1279.72
771,-65,65,621.64
772,-63,65,337.97
773,-53,65,97.45
774,-51,65,1396.4
775,-49,65,247.65
776,-25,65,17.67
777,-23,65,677.85
778,-21,65,1645.96
779,-19,65,1866.12
780,-17,65,1411.51
781,-15,65,1420.29
782,-13,65,90.15
783,11,65,579.09558
784,13,65,1808.30186
785,15,65,1999.077774
786,17,65,2015.52602
787,19,65,2059.23
788,21,65,1524.102556
789,23,65,285.8151406
790,25,65,1416.612333
791,27,65,1975.24686
792,29,65,1950.941733
793,31,65,1913.750627
794,33,65,1977.434435
795,35,65,1010.391901
796,37,65,448.41
797,39,65,761.0305006
798,41,65,1847.838268
799,43,65,2094.69036
800,45,65,2080.497801
801,47,65,2094.68
802,49,65,2094.69
803,51,65,2094.7
804,53,65,2051.81
805,55,65,2059.16
806,57,65,2087.63
807,59,65,2094.64
808,61,65,2094.68
809,63,65,2094.6
810,65,65,2023.01
811,67,65,2090.95
812,69,65,2094.62
813,71,65,2094.73
814,73,65,2094.65
815,75,65,2094.73
816,77,65,2094.76
817,79,65,2094.77
818,81,65,2094.65
819,83,65,2094.63
820,85,65,2094.66
821,87,65,2036.32
822,89,65,2073.38
823,91,65,2094.64
824,93,65,2094.61
825,95,65,2094.78
826,97,65,2094.69
827,99,65,2094.75
828,101,65,2094.69
829,103,65,2094.67
830,105,65,2094.67
831,107,65,2094.68
832,109,65,2094.71
833,111,65,2094.71
834,113,65,2094.71
835,115,65,2094.74
836,117,65,2094.65
837,119,65,2094.662568
838,121,65,2094.69
839,123,65,2094.69
840,125,65,2094.7
841,127,65,2094.67
842,129,65,2094.66
843,131,65,2094.62
844,133,65,2094.7
845,135,65,2094.69
846,137,65,2094.67
847,139,65,2094.72
848,141,65,2094.67
849,143,65,2094.66
850,145,65,2094.59
851,147,65,2094.74
852,149,65,2094.75
853,151,65,2094.6
854,153,65,2094.68
855,155,65,2094.68
856,157,65,2094.58
857,159,65,2094.64
858,161,65,2094.680171
859,163,65,2094.7
860,165,65,2094.73
861,167,65,2094.73
862,169,65,2094.71
863,171,65,2094.77
864,173,65,2094.68
865,175,65,2083.74
866,177,65,1829.52
867,179,65,1329.82
868,-171,63,276.65
869,-169,63,162.74
870,-165,63,691.29
871,-163,63,1340.04
872,-161,63,1902.87
873,-159,63,2184.25
874,-157,63,2250.23
875,-155,63,2250.1
876,-153,63,2223.03
877,-151,63,2026.99
878,-149,63,2202.08
879,-147,63,2077.36
880,-145,63,2030.69
881,-143,63,2146.02
882,-141,63,2250.27
883,-139,63,2238.2
884,-137,63,2250.17
885,-135,63,2250.21
886,-133,63,2250.13
887,-131,63,2238.52
888,-129,63,2246.22
889,-127,63,2230.18
890,-125,63,2250.22
891,-123,63,2168.18
892,-121,63,2196.28
893,-119,63,2083.88
894,-117,63,2052.41
895,-115,63,1888.1
896,-113,63,2068.27
897,-111,63,1676.65
898,-109,63,2059.43
899,-107,63,1930.19
900,-105,63,2155.7
901,-103,63,2115.36
902,-101,63,1811.61
903,-99,63,1926.4
904,-97,63,1972.03
905,-95,63,1921.22
906,-93,63,1741.77
907,-91,63,835.06
908,-89,63,11.41
909,-87,63,186.49
910,-85,63,673.29
911,-83,63,533.83
912,-81,63,378.61
913,-79,63,218.91
914,-77,63,676.11
915,-75,63,340.31
916,-73,63,320.33
917,-71,63,1020.4
918,-69,63,1534.28
919,-67,63,1397.88
920,-65,63,782.59
921,-51,63,493.44
922,-49,63,456.52
923,-23,63,60.89
924,-21,63,251.22
925,-19,63,514.61
926,-17,63,167.46
928,5,63,92.17779
929,7,63,759.9651969
930,9,63,1656.591211
931,11,63,2084.739712
932,13,63,2204.35092
933,15,63,2125.65582
934,17,63,2055.103913
935,19,63,816.400186
936,21,63,589.1677289
937,23,63,1932.742648
938,25,63,2050.02096
939,27,63,1963.450671
940,29,63,1712.018567
941,31,63,2133.70357
942,33,63,2055.966743
943,35,63,1734.642409
944,37,63,2114.950232
945,39,63,2226.533172
946,41,63,2250.197616
947,43,63,2250.207307
948,45,63,2250.223791
949,47,63,2250.1927
950,49,63,2250.212966
951,51,63,2250.215291
952,53,63,2250.164478
953,55,63,2250.178585
954,57,63,2250.21
955,59,63,2250.19
956,61,63,2250.126207
957,63,63,2250.234338
958,65,63,2250.222597
959,67,63,2250.136478
960,69,63,2250.22
961,71,63,2250.21
962,73,63,2250.18
963,75,63,2250.16
964,77,63,2250.25
965,79,63,2250.14
966,81,63,2250.16
967,83,63,2250.22
968,85,63,2250.177712
969,87,63,2250.15
970,89,63,2250.2
971,91,63,2250.17
972,93,63,2250.19
973,95,63,2250.19
974,97,63,2250.15
975,99,63,2250.21
976,101,63,2250.18
977,103,63,2250.1
978,105,63,2250.2
979,107,63,2250.24
980,109,63,2250.17
981,111,63,2250.2
982,113,63,2250.18168
983,115,63,2250.19
984,117,63,2250.19
985,119,63,2250.18
986,121,63,2250.22
987,123,63,2250.21
988,125,63,2250.27
989,127,63,2250.195477
990,129,63,2250.211049
991,131,63,2250.2053
992,133,63,2250.21
993,135,63,2250.24
994,137,63,2250.2
995,139,63,2250.16
996,141,63,2250.19
997,143,63,2250.212029
998,145,63,2250.234702
999,147,63,2250.23
1000,149,63,2250.15
1001,151,63,2250.18
1002,153,63,2250.14
1003,155,63,2250.16
1004,157,63,2250.19
1005,159,63,2250.21
1006,161,63,2250.29
1007,163,63,1990.22
1008,165,63,2047.11
1009,167,63,2250.17
1010,169,63,2250.2
1011,171,63,2250.12
1012,173,63,2250.26
1013,175,63,2182.11
1014,177,63,1682.28
1015,179,63,939.35
1016,-173,61,8.54
1017,-167,61,229.98
1018,-165,61,1501.03
1019,-163,61,2143.1
1020,-161,61,2370.14
1021,-159,61,2360.38
1022,-157,61,2402.97
1023,-155,61,2373.1
1024,-153,61,1852.05
1025,-151,61,1720.8
1026,-149,61,1842.75
