"G","frac"
29915,0.126947212887126
29916,0.00521084630343687
29917,0.00346055574533665
29918,0.00174194693159368
29919,0.00521749573929429
29921,0.0138189221362905
29923,0.00698109368276959
29924,0.365912867407783
29925,0.35348511161465
29926,0.0034855591514638
29931,0.0526379190816641
29932,0.00868471240368893
29933,0.00689278525911706
29934,0.00525913293694717
29935,0.00518917644008435
29937,0.0104549941907354
29938,0.0943015519425228
29939,0.164979933854705
29940,0.110407953069347
30064,0.0052041839952742
30065,0.179519218772668
30066,0.0017169400939965
30147,0.00173195037320595
30148,0.339562133663761
30149,0.155872160414806
30289,0.199184366041392
30290,0.203900125168373
30291,0.236366507262957
30292,0.239531725901306
30293,0.221184941728014
30294,0.0209696878024425
30295,0.238024508241815
30296,0.00875763706433635
30319,1
30320,1
30321,0.987766871845458
30322,0.713339757193799
30323,0.422004980549345
30324,0.0464583816122026
30354,0.666666666666667
30355,1
30356,1
30357,1
30358,1
30359,0.625
30632,0.020748954225459
30633,0.00172718495264851
30634,0.00521888720320283
30636,0.00174341916744442
30637,0.0628393184963317
30638,0.138341474683331
30639,0.244659083546892
30640,0.351750269471239
30641,0.255247099675888
30648,0.00350467582705807
30649,0.266658819615648
30650,0.551511380226089
30651,0.374706008836035
30653,0.00868624659970779
30654,0.0539939588314926
30655,0.057647936435137
30657,0.00520914489169116
30784,0.133309915338354
30785,0.0887375174761253
30786,0.00174179677968089
30793,0.0206937226187211
30794,0.0156729250903863
30896,0.126071059739422
30897,0.211916979230419
30898,0.245101957692017
30899,0.0875342084095695
30995,0.00867662672404162
31009,0.717475842203323
31010,0.707117980205234
31011,0.701926247264295
31012,0.752051239110378
31013,0.791700904826984
31014,0.958770276469445
31015,0.687334366407638
31016,0.439909981743928
31017,0.125719890496673
31018,0.287669752840416
31019,0.405345577140162
31020,0.302581717717495
31021,0.0683243963086134
31039,0.625923535533521
31040,0.492096222846815
31041,0.819631245290997
31042,0.67651370461444
31043,0.291240092330426
31044,0.0498794665312769
31074,0.0877446826866316
31075,0.464437045582286
31076,0.859931115599416
31077,1
31078,1
31079,0.625
31110,0.272621068439539
31111,0.0606667442861819
31112,0.038349570146846
31113,0.00525815389460807
31114,0.0261769779774383
31184,0.0577922845099138
31185,0.178491192060387
31186,0.221363695856546
31187,0.169321238596231
31188,0.0578333691959937
31189,0.00350859543519439
31352,0.00175429771759719
31353,0.00173532543657922
31354,0.0573242758804953
31359,0.0567241495705723
31360,0.055072796122903
31368,0.0121077015656328
31369,0.0294387596366831
31370,0.0901561281931802
31371,0.00172741054791187
31372,0.00173057719000079
31373,0.0656241364357094
31374,0.0620204320751121
31375,0.0206576432432512
31376,0.00349753508156463
31595,0.0242549873909731
31596,0.434678977685194
31597,0.276226074905986
31616,0.262987185197372
31617,0.928171753301596
31618,1
31619,0.896673770388151
31620,0.247943841933827
31715,0.00345216416514517
31716,0.00172144750665392
31720,0.237356366311452
31721,0.674204665299805
31722,0.370274137887282
31723,0.262383514074452
31724,0.0490938295569114
31725,0.0105184558067841
31727,0.35421499310779
31728,0.939456295309919
31729,0.993125027854303
31730,1
31731,1
31732,1
31733,1
31734,1
31735,0.915852353545727
31736,0.915852353545727
31737,0.859901846824716
31738,0.940432398157016
31739,1
31740,0.97369846876203
31741,0.222151242093528
31796,0.0051550699531508
31797,0.280985145331796
31798,0.497333650176586
31799,0.478425544849047
31800,0.23716185998875
31801,0.0121443289539419
31830,0.25
31834,0.0017199021925466
31835,0.00688424448490794
31836,0.0572709860664935
31837,0.0781198210426642
31838,0.0486112603877346
31839,0.107390733928562
31840,0.0414985500452859
31841,0.0121088255355226
31842,0.0225286174985003
31843,0.0138611528579177
31844,0.0380911584677472
31845,0.0121751830981619
31846,0.0958774231508315
31904,0.299485679708757
31905,0.932433044464737
31906,0.623315934503111
31907,0.866955904203511
31908,0.872273249953618
31909,0.791045477357735
31910,0.734021707126695
31911,0.125678829117161
32070,0.00525691716581644
32071,0.00172299259316082
32072,0.0207361471411548
32073,0.0244228042379664
32074,0.0103225037834943
32083,0.00347069013448887
32086,0.0191088201514746
32087,0.0208503628785941
32089,0.0173873575819391
32091,0.00522299196909668
32092,0.00173225832124675
32097,0.00345216393693716
32098,0.00172144750665392
32115,0.00173225832124675
32116,0.0121381556911751
32317,0.175677209211083
32318,0.0811443580750427
32336,0.00349074123263634
32337,0.19502186543405
32338,0.648819406520893
32339,0.928173965191267
32340,0.872381208633405
32341,0.109991432632324
32440,0.300969492962228
32441,0.902080936053584
32442,0.991291575093273
32443,0.996514222995017
32444,0.694713431251542
32445,0.0983357714928313
32447,0.00859394647481484
32448,0.191347870428078
32449,0.485254123842771
32450,0.497398659713961
32451,0.675114560334235
32452,0.922890382061594
32453,0.692438123165594
32454,0.400344768899497
32455,0.0414137474875199
32458,0.284437634569099
32459,0.852977856712083
32460,0.167363137905703
32550,0.173060263142684
32565,0.0104648437742976
32566,0.0172903741018462
32625,0.12231594502308
32626,0.687143281512091
32627,0.954427779227655
32628,1
32629,1
32630,1
32631,0.837067622630129
32632,0.55069922769208
32633,0.110063630470954
32635,0.00173837446352721
32789,0.0104437890132699
32790,0.00523317378027805
32791,0.0034616925583787
32792,0.181080457966244
32793,0.137323232826155
32798,0.00345415956642488
32799,0.0156528921549304
