ID_LUID,x,y,YEAR,share.CrpLnd,share.GrsLnd,share.NatLnd,share.MngFor,share.PriFor,share.OagLnd,share.WetLnd,share.NotRel,share.RstLnd,Area.1000ha
20,-51,83,2050,0,0,0.501823003,0,0,0,0,0.498176997,0,30.17
21,-49,83,2000,0,0,0.472461154,0,0,0,0,0.527538846,0,144.16
21,-49,83,2010,0,0,0.472461154,0,0,0,0,0.527538846,0,144.16
21,-49,83,2020,0,0,0.472461154,0,0,0,0,0.527538846,0,144.16
21,-49,83,2030,0,0,0.472461154,0,0,0,0,0.527538846,0,144.16
21,-49,83,2040,0,0,0.472461154,0,0,0,0,0.527538846,0,144.16
21,-49,83,2050,0,0,0.472461154,0,0,0,0,0.527538846,0,144.16
22,-47,83,2000,0,0,0.168039278,0,0,0,0,0.831960722,0,63.14
22,-47,83,2010,0,0,0.168039278,0,0,0,0,0.831960722,0,63.14
22,-47,83,2020,0,0,0.168039278,0,0,0,0,0.831960722,0,63.14
22,-47,83,2030,0,0,0.168039278,0,0,0,0,0.831960722,0,63.14
22,-47,83,2040,0,0,0.168039278,0,0,0,0,0.831960722,0,63.14
22,-47,83,2050,0,0,0.168039278,0,0,0,0,0.831960722,0,63.14
23,-45,83,2000,0,0,0.481262634,0,0,0,0,0.518737366,0,64.31
23,-45,83,2010,0,0,0.481262634,0,0,0,0,0.518737366,0,64.31
23,-45,83,2020,0,0,0.481262634,0,0,0,0,0.518737366,0,64.31
23,-45,83,2030,0,0,0.481262634,0,0,0,0,0.518737366,0,64.31
23,-45,83,2040,0,0,0.481262634,0,0,0,0,0.518737366,0,64.31
23,-45,83,2050,0,0,0.481262634,0,0,0,0,0.518737366,0,64.31
24,-43,83,2000,0,0,0.677764566,0,0,0,0,0.322235434,0,33.64
24,-43,83,2010,0,0,0.677764566,0,0,0,0,0.322235434,0,33.64
24,-43,83,2020,0,0,0.677764566,0,0,0,0,0.322235434,0,33.64
24,-43,83,2030,0,0,0.677764566,0,0,0,0,0.322235434,0,33.64
24,-43,83,2040,0,0,0.677764566,0,0,0,0,0.322235434,0,33.64
24,-43,83,2050,0,0,0.677764566,0,0,0,0,0.322235434,0,33.64
25,-41,83,2000,0,0,0.424743392,0,0,0,0,0.575256608,0,110.09
25,-41,83,2010,0,0,0.424743392,0,0,0,0,0.575256608,0,110.09
25,-41,83,2020,0,0,0.424743392,0,0,0,0,0.575256608,0,110.09
25,-41,83,2030,0,0,0.424743392,0,0,0,0,0.575256608,0,110.09
25,-41,83,2040,0,0,0.424743392,0,0,0,0,0.575256608,0,110.09
25,-41,83,2050,0,0,0.424743392,0,0,0,0,0.575256608,0,110.09
26,-39,83,2000,0,0,0.354005893,0,0,0,0,0.645994107,0,71.27
26,-39,83,2010,0,0,0.354005893,0,0,0,0,0.645994107,0,71.27
26,-39,83,2020,0,0,0.354005893,0,0,0,0,0.645994107,0,71.27
26,-39,83,2030,0,0,0.354005893,0,0,0,0,0.645994107,0,71.27
26,-39,83,2040,0,0,0.354005893,0,0,0,0,0.645994107,0,71.27
26,-39,83,2050,0,0,0.354005893,0,0,0,0,0.645994107,0,71.27
27,-37,83,2000,0,0,0.890798787,0,0,0,0,0.109201213,0,108.79
27,-37,83,2010,0,0,0.890798787,0,0,0,0,0.109201213,0,108.79
27,-37,83,2020,0,0,0.890798787,0,0,0,0,0.109201213,0,108.79
27,-37,83,2030,0,0,0.890798787,0,0,0,0,0.109201213,0,108.79
27,-37,83,2040,0,0,0.890798787,0,0,0,0,0.109201213,0,108.79
27,-37,83,2050,0,0,0.890798787,0,0,0,0,0.109201213,0,108.79
28,-35,83,2000,0,0,0.809035955,0,0,0,0,0.190964045,0,254.76
28,-35,83,2010,0,0,0.809035955,0,0,0,0,0.190964045,0,254.76
28,-35,83,2020,0,0,0.809035955,0,0,0,0,0.190964045,0,254.76
28,-35,83,2030,0,0,0.809035955,0,0,0,0,0.190964045,0,254.76
28,-35,83,2040,0,0,0.809035955,0,0,0,0,0.190964045,0,254.76
