Model,Scenario,Region,Variable,Year,Unit,Value
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|ESHI,2070,unitless,1.3903559336517
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|ESHI,2070,unitless,1.06785328858648
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|ESHI,2070,unitless,1.14437072557568
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|ESHI,2070,unitless,2.04855081880815
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|ESHI,2070,unitless,1.24154654913081
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|ESHI,2070,unitless,1.02638754977505
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|ESHI,2070,unitless,1.40096151669106
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|ESHI,2070,unitless,1.24843846226797
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|ESHI,2070,unitless,1.92716676558835
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|ESHI,2080,unitless,1.33231095967226
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|ESHI,2080,unitless,2.5660082297163
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|ESHI,2080,unitless,1.28548102412135
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|ESHI,2080,unitless,1.31593174423071
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|ESHI,2080,unitless,1.668235852131
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|ESHI,2080,unitless,2.01234285206762
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|ESHI,2080,unitless,1.15237838221583
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|ESHI,2080,unitless,1.01653924891599
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|ESHI,2080,unitless,1.99018331408108
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|ESHI,2080,unitless,1.05444782914313
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|ESHI,2080,unitless,1.40553291584527
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|ESHI,2080,unitless,1.09968465890652
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|ESHI,2080,unitless,1.17140368966222
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|ESHI,2080,unitless,2.18771537589598
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|ESHI,2080,unitless,1.30291932011659
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|ESHI,2080,unitless,1.04644103902579
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|ESHI,2080,unitless,1.42364667513382
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|ESHI,2080,unitless,1.27845608528734
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|ESHI,2080,unitless,2.02509926787572
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|ESHI,2090,unitless,2.11592532069463
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|ESHI,2090,unitless,1.31473983452945
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|ESHI,2090,unitless,2.10064124374361
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|ESHI,2090,unitless,1.17025251727468
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|ESHI,2090,unitless,1.0498700919283
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|ESHI,2090,unitless,2.01850137626595
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|ESHI,2090,unitless,1.09437433192079
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|ESHI,2090,unitless,1.4166769259755
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|ESHI,2090,unitless,1.12350366493789
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|ESHI,2090,unitless,1.1865205699428
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|ESHI,2090,unitless,2.3643489032447
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|ESHI,2090,unitless,1.35818440047898
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|ESHI,2090,unitless,1.36169165593089
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|ESHI,2090,unitless,2.78754026404652
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|ESHI,2090,unitless,1.07689636717631
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|ESHI,2090,unitless,1.32032429555446
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|ESHI,2090,unitless,1.43940075023467
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|ESHI,2090,unitless,1.37116087254333
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|ESHI,2090,unitless,1.68876226039906
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|ESHI,2100,unitless,1.42730906127791
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|ESHI,2100,unitless,1.13810182890406
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|ESHI,2100,unitless,1.15037803199351
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|ESHI,2100,unitless,2.69352781438742
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|ESHI,2100,unitless,1.4406341332797
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|ESHI,2100,unitless,1.1109863024044
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|ESHI,2100,unitless,1.45029607139798
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|ESHI,2100,unitless,1.35528044149671
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|ESHI,2100,unitless,2.25634141768911
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|ESHI,2100,unitless,1.39781563043437
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|ESHI,2100,unitless,3.19862798926232
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|ESHI,2100,unitless,1.36919375162438
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|ESHI,2100,unitless,1.45042542611722
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|ESHI,2100,unitless,1.72836718021995
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|ESHI,2100,unitless,2.22063002795299
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|ESHI,2100,unitless,1.19231397048979
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|ESHI,2100,unitless,1.08638497144131
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|ESHI,2100,unitless,2.03327671328993
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|ESHI,2100,unitless,1.15666201113102
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|RLI,2005,unitless,0.960655737704918
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|RLI,2005,unitless,0.908880308880309
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|RLI,2005,unitless,0.983829787234043
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|RLI,2005,unitless,0.966498740554156
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|RLI,2005,unitless,0.880267558528428
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|RLI,2005,unitless,0.930555555555556
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|RLI,2005,unitless,0.881545064377682
