*file,reg,variable,year,val
SSP1p_20W_BIOD2,IND,NPotSpeciesInRegion,2010,264
SSP1p_20W_BIOD2,SEA,NPotSpeciesInRegion,2010,611
SSP1p_20W_BIOD2,OAS,NPotSpeciesInRegion,2010,288
SSP1p_20W_BIOD2,ANZ,NPotSpeciesInRegion,2010,185
SSP1p_20W_BIOD2,NAM,NPotSpeciesInRegion,2010,263
SSP1p_20W_BIOD2,OAM,NPotSpeciesInRegion,2010,903
SSP1p_20W_BIOD2,AME,NPotSpeciesInRegion,2010,898
SSP1p_20W_BIOD2,SAS,NPotSpeciesInRegion,2010,819
SSP1p_20W_BIOD2,WLD,NPotSpeciesInRegion,2010,2843
SSP1p_20W_BIOD2,EUE,NPotSpeciesInRegion,2010,139
SSP1p_20W_BIOD2,CAN,ESHI,2020,1.041750118
SSP1p_20W_BIOD2,USA,ESHI,2020,1.131302999
SSP1p_20W_BIOD2,BRA,ESHI,2020,1.006800033
SSP1p_20W_BIOD2,OSA,ESHI,2020,1.01981608
SSP1p_20W_BIOD2,FSU,ESHI,2020,0.942126835
SSP1p_20W_BIOD2,EUR,ESHI,2020,1.153123475
SSP1p_20W_BIOD2,MEN,ESHI,2020,1.010482136
SSP1p_20W_BIOD2,SSA,ESHI,2020,0.96317981
SSP1p_20W_BIOD2,CHN,ESHI,2020,1.201090243
SSP1p_20W_BIOD2,IND,ESHI,2020,0.949052996
SSP1p_20W_BIOD2,SEA,ESHI,2020,1.066142997
SSP1p_20W_BIOD2,OAS,ESHI,2020,0.996535046
SSP1p_20W_BIOD2,ANZ,ESHI,2020,1.051595479
SSP1p_20W_BIOD2,NAM,ESHI,2020,1.08419864
SSP1p_20W_BIOD2,OAM,ESHI,2020,1.013178022
SSP1p_20W_BIOD2,AME,ESHI,2020,0.971068329
SSP1p_20W_BIOD2,SAS,ESHI,2020,1.061830043
SSP1p_20W_BIOD2,WLD,ESHI,2020,1.0118998
SSP1p_20W_BIOD2,EUE,ESHI,2020,1.159100404
SSP1p_20W_BIOD2,CAN,RLI,2020,0.959016393
SSP1p_20W_BIOD2,USA,RLI,2020,0.913513514
SSP1p_20W_BIOD2,BRA,RLI,2020,0.983829787
SSP1p_20W_BIOD2,OSA,RLI,2020,0.967758186
SSP1p_20W_BIOD2,FSU,RLI,2020,0.852842809
SSP1p_20W_BIOD2,EUR,RLI,2020,0.938888889
SSP1p_20W_BIOD2,MEN,RLI,2020,0.881545064
SSP1p_20W_BIOD2,SSA,RLI,2020,0.949527665
SSP1p_20W_BIOD2,CHN,RLI,2020,0.956690998
SSP1p_20W_BIOD2,IND,RLI,2020,0.95
SSP1p_20W_BIOD2,SEA,RLI,2020,0.979050736
SSP1p_20W_BIOD2,OAS,RLI,2020,0.950694444
SSP1p_20W_BIOD2,ANZ,RLI,2020,0.92
SSP1p_20W_BIOD2,NAM,RLI,2020,0.919391635
SSP1p_20W_BIOD2,OAM,RLI,2020,0.971650055
SSP1p_20W_BIOD2,AME,RLI,2020,0.942093541
SSP1p_20W_BIOD2,SAS,RLI,2020,0.965323565
SSP1p_20W_BIOD2,WLD,RLI,2020,0.954344003
SSP1p_20W_BIOD2,EUE,RLI,2020,0.936690647
SSP1p_20W_BIOD2,CAN,NSpeciesExtinctAtFirstYear,2020,4
SSP1p_20W_BIOD2,USA,NSpeciesExtinctAtFirstYear,2020,14
SSP1p_20W_BIOD2,BRA,NSpeciesExtinctAtFirstYear,2020,6
SSP1p_20W_BIOD2,OSA,NSpeciesExtinctAtFirstYear,2020,24
SSP1p_20W_BIOD2,FSU,NSpeciesExtinctAtFirstYear,2020,30
SSP1p_20W_BIOD2,EUR,NSpeciesExtinctAtFirstYear,2020,8
SSP1p_20W_BIOD2,MEN,NSpeciesExtinctAtFirstYear,2020,27
SSP1p_20W_BIOD2,SSA,NSpeciesExtinctAtFirstYear,2020,25
SSP1p_20W_BIOD2,CHN,NSpeciesExtinctAtFirstYear,2020,15
SSP1p_20W_BIOD2,IND,NSpeciesExtinctAtFirstYear,2020,5
SSP1p_20W_BIOD2,SEA,NSpeciesExtinctAtFirstYear,2020,8
SSP1p_20W_BIOD2,OAS,NSpeciesExtinctAtFirstYear,2020,7
SSP1p_20W_BIOD2,ANZ,NSpeciesExtinctAtFirstYear,2020,13
SSP1p_20W_BIOD2,NAM,NSpeciesExtinctAtFirstYear,2020,14
SSP1p_20W_BIOD2,OAM,NSpeciesExtinctAtFirstYear,2020,24
SSP1p_20W_BIOD2,AME,NSpeciesExtinctAtFirstYear,2020,39
SSP1p_20W_BIOD2,SAS,NSpeciesExtinctAtFirstYear,2020,23
